creatorLabel,datebirth,datedeath,placebirthLabel,coord,lat_long,placedeathLabel,coord_2,lat_long_2
Conny Méndez,1898-04-11T00:00:00Z,1979-11-26T00:00:00Z,Caracas,Point(-66.933333333 10.5),"10.5, -66.933333333333",Miami,,"25.783333333333, -80.216666666667"
Adrien Tournachon,1825-01-01T00:00:00Z,1903-01-01T00:00:00Z,Paris,Point(2.351827777 48.856577777),"48.856577777778, 2.3518277777778",Paris,,"48.856577777778, 2.3518277777778"
Julie Manet,1878-11-14T00:00:00Z,1966-07-14T00:00:00Z,Paris,Point(2.351827777 48.856577777),"48.856577777778, 2.3518277777778",Paris,,"48.856577777778, 2.3518277777778"
Kaj Kajander,1924-10-22T00:00:00Z,1991-01-10T00:00:00Z,Helsinki,Point(24.948611111 60.173333333),"60.173333333333, 24.948611111111",Helsinki,,"60.173333333333, 24.948611111111"
Edmund Kesting,1892-07-27T00:00:00Z,1970-10-21T00:00:00Z,Dresde,Point(13.733333333 51.033333333),"51.033333333333, 13.733333333333",Birkenwerder,,"52.683333333333, 13.283333333333"
Aileen Meagher,1910-11-26T00:00:00Z,1987-08-02T00:00:00Z,Halifax,Point(-63.6 44.65),"44.65, -63.6",Halifax,,"44.65, -63.6"
Jean Charlot,1898-02-08T00:00:00Z,1979-03-20T00:00:00Z,Paris,Point(2.351827777 48.856577777),"48.856577777778, 2.3518277777778",Honolulu,,"21.308888888889, -157.82611111111"
Salvador Viniegra,1862-11-23T00:00:00Z,1915-04-29T00:00:00Z,Cadix,Point(-6.283333333 36.516666666),"36.516666666667, -6.2833333333333",Madrid,,"40.418888888889, -3.6919444444444"
Aimé Morot,1850-06-16T00:00:00Z,1913-08-12T00:00:00Z,Nancy,Point(6.183611111 48.692777777),"48.692777777778, 6.1836111111111",Dinard,,"48.6325, -2.0616666666667"
Adolf Riedlin,1892-04-03T00:00:00Z,1969-09-06T00:00:00Z,Sulzburg,Point(7.709166666 47.840277777),"47.840277777778, 7.7091666666667",Fribourg-en-Brisgau,,"47.994722222222, 7.8497222222222"
Adolf Quensen,1851-03-02T00:00:00Z,1911-04-16T00:00:00Z,Lamspringe,Point(10.0 51.95),"51.95, 10",Helwan,,"29.841944444444, 31.334166666667"
Adolf Schröter,1904-01-09T00:00:00Z,1997-10-18T00:00:00Z,Francfort-sur-l'Oder,Point(14.55 52.35),"52.35, 14.55",Marbourg,,"50.816666666667, 8.7666666666667"
Adolph Johannes Fischer,1885-07-07T00:00:00Z,1936-11-22T00:00:00Z,Gmunden,Point(13.799444444 47.918055555),"47.918055555556, 13.799444444444",Salzbourg,,"47.8, 13.033333333333"
Adolf Wiesner,1871-03-31T00:00:00Z,1942-09-18T00:00:00Z,Prague,Point(14.421388888 50.088611111),"50.088611111111, 14.421388888889",Terezín,,"50.51107886619, 14.150642743433"
Agnes Sander-Plump,1888-01-01T00:00:00Z,1980-12-23T00:00:00Z,Brême,Point(8.808888888 53.076944444),"53.076944444444, 8.8088888888889",Lilienthal,,"53.144444444444, 8.9077777777778"
Adolfo Best Maugard,1891-06-11T00:00:00Z,1964-08-25T00:00:00Z,Mexico,Point(-99.145555555 19.419444444),"19.419444444444, -99.145555555556",Athènes,,"38, 23.716666666667"
Adolf Wiesner,1871-03-31T00:00:00Z,1942-09-18T00:00:00Z,Prague,Point(14.421388888 50.088611111),"50.088611111111, 14.421388888889",camp de concentration de Theresienstadt,,"50.510278, 14.149722"
Gaetano de Martini,1840-01-01T00:00:00Z,1917-01-01T00:00:00Z,Bénévent,Point(14.783333333 41.133333333),"41.133333333333, 14.783333333333",Naples,,"40.833333333333, 14.25"
Adolf Schleicher,1887-09-25T00:00:00Z,1982-12-29T00:00:00Z,Cologne,Point(6.957777777 50.942222222),"50.942222222222, 6.9577777777778",Icking,,"47.95, 11.433333333333"
Adolf Waldinger,1843-06-16T00:00:00Z,1904-12-07T00:00:00Z,Osijek,Point(18.670277777 45.560277777),"45.560277777778, 18.670277777778",Osijek,,"45.560277777778, 18.670277777778"
Adolph Gottlieb,1903-03-14T00:00:00Z,1974-03-04T00:00:00Z,New York,Point(-73.94 40.67),"40.67, -73.94",New York,,"40.67, -73.94"
Luc-Olivier Merson,1846-05-21T00:00:00Z,1920-11-13T00:00:00Z,Paris,Point(2.351827777 48.856577777),"48.856577777778, 2.3518277777778",Paris,,"48.856577777778, 2.3518277777778"
Bernard Buffet,1928-07-10T00:00:00Z,1999-10-04T00:00:00Z,Paris,Point(2.351827777 48.856577777),"48.856577777778, 2.3518277777778",Tourtour,,"43.589444444444, 6.3025"
Adolf Wölfli,1864-02-29T00:00:00Z,1930-11-06T00:00:00Z,Berne,Point(7.438611111 46.950833333),"46.950833333333, 7.4386111111111",hôpital Waldau,,"46.96534, 7.48504"
Jorma Gallen-Kallela,1898-11-22T00:00:00Z,1939-12-01T00:00:00Z,Ruovesi,Point(24.083333 61.983333),"61.983333, 24.083333",Poliany,,"60.323055555556, 29.263333333333"
Adolf Uzarski,1885-04-14T00:00:00Z,1970-07-14T00:00:00Z,Ruhrort,Point(6.732222222 51.456111111),"51.456111111111, 6.7322222222222",Düsseldorf,,"51.216666666667, 6.8166666666667"
Adolf Seel,1829-03-01T00:00:00Z,1907-02-14T00:00:00Z,Wiesbaden,Point(8.241361111 50.082083333),"50.082083333333, 8.2413611111111",Dillenburg,,"50.733333333333, 8.2833333333333"
Agustín Abarca,1882-12-27T00:00:00Z,1953-05-28T00:00:00Z,Talca,Point(-71.666666666 -35.433333333),"-35.433333333333, -71.666666666667",Santiago,,"-33.45, -70.666666666667"
Johnston Forbes-Robertson,1853-01-16T00:00:00Z,1937-11-06T00:00:00Z,Londres,Point(-0.1275 51.507222222),"51.507222222222, -0.1275",Douvres,,"51.1275, 1.3122222222222"
Adolf Strübe,1881-12-07T00:00:00Z,1973-09-23T00:00:00Z,Maulburg,Point(7.779444444 47.645),"47.645, 7.7794444444444",Schopfheim,,"47.649444444444, 7.8247222222222"
Adolf Schlabitz,1854-06-07T00:00:00Z,1943-09-04T00:00:00Z,Syców,Point(17.716666666 51.3),"51.3, 17.716666666667",Brixlegg,,"47.429166666667, 11.8775"
Tom of Finland,1920-05-08T00:00:00Z,1991-11-07T00:00:00Z,Kaarina,Point(22.372222222 60.406944444),"60.406944444444, 22.372222222222",Helsinki,,"60.173333333333, 24.948611111111"
André Barsacq,1909-01-24T00:00:00Z,1973-07-08T00:00:00Z,Féodosia,Point(35.379166666 45.048888888),"45.048888888889, 35.379166666667",Paris,,"48.856577777778, 2.3518277777778"
Adolf Ziegler,1892-10-16T00:00:00Z,1959-09-18T00:00:00Z,Brême,Point(8.808888888 53.076944444),"53.076944444444, 8.8088888888889",Varnhalt,,"48.7348, 8.18"
Adolf Wriggers,1896-04-27T00:00:00Z,1984-11-30T00:00:00Z,Hambourg,Point(10.0 53.55),"53.55, 10",Hambourg,,"53.55, 10"
Adolphe Léon Willette,1857-07-30T00:00:00Z,1926-02-04T00:00:00Z,Châlons-en-Champagne,Point(4.364444444 48.956666666),"48.956666666667, 4.3644444444444",Paris,,"48.856577777778, 2.3518277777778"
Seitaro Kitayama,1889-01-01T00:00:00Z,1945-02-02T00:00:00Z,Tokyo,Point(139.77 35.68),"35.68, 139.77",Osaka,,"34.693611111111, 135.50194444444"
Fritz Ludvig Dardel,1817-03-24T00:00:00Z,1901-05-27T00:00:00Z,Neuchâtel,Point(6.930555555 46.990277777),"46.990277777778, 6.9305555555556",Stockholm,,"59.329444444444, 18.068611111111"
Adolf Schinnerer,1876-09-25T00:00:00Z,1949-01-30T00:00:00Z,Schwarzenbach an der Saale,Point(11.933333333 50.220833333),"50.220833333333, 11.933333333333",Haimhausen,,"48.316666666667, 11.566666666667"
Ștefan Luchian,1868-02-13T00:00:00Z,1916-07-11T00:00:00Z,Ştefăneşti,Point(27.201111111 47.792222222),"47.792222222222, 27.201111111111",Bucarest,,"44.4, 26.083333333333"
Louis-Joseph-Raphaël Collin,1850-06-17T00:00:00Z,1916-10-19T00:00:00Z,Paris,Point(2.351827777 48.856577777),"48.856577777778, 2.3518277777778",Brionne,,"49.194722222222, 0.72027777777778"
Wilhelm Baum,1891-03-12T00:00:00Z,1977-03-20T00:00:00Z,Berlin,Point(13.383333333 52.516666666),"52.516666666667, 13.383333333333",Berlin,,"52.516666666667, 13.383333333333"
Edgar Maxence,1871-09-17T00:00:00Z,1954-07-31T00:00:00Z,Nantes,Point(-1.553888888 47.217222222),"47.217222222222, -1.5538888888889",La Bernerie-en-Retz,,"47.081388888889, -2.0375"
Adolf Des Coudres,1862-06-02T00:00:00Z,1924-09-21T00:00:00Z,Karlsruhe,Point(8.404166666 49.013888888),"49.013888888889, 8.4041666666667",Fürstenfeldbruck,,"48.177777777778, 11.255555555556"
Kouzma Petrov-Vodkine,1878-11-05T00:00:00Z,1939-02-15T00:00:00Z,Khvalynsk,Point(48.1 52.483333333),"52.483333333333, 48.1",Saint-Pétersbourg,,"59.95, 30.316666666667"
Agnes Meyerhof,1856-06-02T00:00:00Z,1942-08-22T00:00:00Z,Hildesheim,Point(9.95 52.15),"52.15, 9.95",camp de concentration de Theresienstadt,,"50.510278, 14.149722"
Peder Severin Krøyer,1851-07-23T00:00:00Z,1909-11-21T00:00:00Z,Stavanger,Point(5.71 58.97),"58.97, 5.71",Skagen,,"57.722222222222, 10.587777777778"
Adolf Wiesner,1871-03-31T00:00:00Z,1942-10-10T00:00:00Z,Prague,Point(14.421388888 50.088611111),"50.088611111111, 14.421388888889",Terezín,,"50.51107886619, 14.150642743433"
Richard Mortensen,1910-10-23T00:00:00Z,1993-01-06T00:00:00Z,Ejby,Point(11.845 55.6889),"55.6889, 11.845",Copenhague,,"55.676111111111, 12.568888888889"
Agnes Muthspiel,1914-02-08T00:00:00Z,1966-05-03T00:00:00Z,Salzbourg,Point(13.033333333 47.8),"47.8, 13.033333333333",Salzbourg,,"47.8, 13.033333333333"
Adolf Rettelbusch,1858-12-15T00:00:00Z,1934-01-15T00:00:00Z,Kammerforst,Point(10.425833333 51.121944444),"51.121944444444, 10.425833333333",Magdebourg,,"52.133333333333, 11.616666666667"
Adolf Wiesner,1871-03-31T00:00:00Z,1942-10-10T00:00:00Z,Prague,Point(14.421388888 50.088611111),"50.088611111111, 14.421388888889",camp de concentration de Theresienstadt,,"50.510278, 14.149722"
Adolphe Millot,1857-05-01T00:00:00Z,1921-12-18T00:00:00Z,Paris,Point(2.351827777 48.856577777),"48.856577777778, 2.3518277777778",Paris,,"48.856577777778, 2.3518277777778"
Henry Tonks,1862-04-09T00:00:00Z,1937-01-08T00:00:00Z,Birmingham,Point(-1.9 52.483333333),"52.483333333333, -1.9",Londres,,"51.507222222222, -0.1275"
Adolf Saenger,1884-03-23T00:00:00Z,1961-05-07T00:00:00Z,Niederdielfen,Point(8.09056 50.8511),"50.8511, 8.09056",Niederdielfen,,"50.8511, 8.09056"
Jacques Villon,1875-07-31T00:00:00Z,1963-06-09T00:00:00Z,Damville,Point(1.074722222 48.869722222),"48.869722222222, 1.0747222222222",Puteaux,,"48.884166666667, 2.2380555555556"
Alén Diviš,1900-04-26T00:00:00Z,1956-11-15T00:00:00Z,Poděbrady,Point(15.11888478 50.142477809),"50.142477809038, 15.118884780406",Prague,,"50.088611111111, 14.421388888889"
Fritz Overbeck,1869-09-15T00:00:00Z,1909-07-07T00:00:00Z,Brême,Point(8.808888888 53.076944444),"53.076944444444, 8.8088888888889",Brême,,"53.076944444444, 8.8088888888889"
Amaldus Nielsen,1838-05-23T00:00:00Z,1932-12-10T00:00:00Z,Mandal,Point(7.483333 58.033333),"58.033333, 7.483333",Oslo,,"59.911111111111, 10.752777777778"
Karol Hiller,1891-12-19T00:00:00Z,1939-12-07T00:00:00Z,Łódź,Point(19.458511111 51.759494444),"51.759494444444, 19.458511111111",Łódź,,"51.759494444444, 19.458511111111"
Nicolae Grigorescu,1838-05-15T00:00:00Z,1907-07-21T00:00:00Z,Pitaru,Point(25.584073 44.590615),"44.590615, 25.584073",Câmpina,,"45.128055555556, 25.738333333333"
Josef Čapek,1887-02-23T00:00:00Z,1945-04-01T00:00:00Z,Hronov,Point(16.182393097 50.479716909),"50.47971690936, 16.182393097246",Bergen-Belsen,,"52.757778, 9.907778"
John Collier,1850-01-27T00:00:00Z,1934-04-11T00:00:00Z,Londres,Point(-0.1275 51.507222222),"51.507222222222, -0.1275",Londres,,"51.507222222222, -0.1275"
Piero Fornasetti,1913-11-10T00:00:00Z,1988-10-09T00:00:00Z,Milan,Point(9.190336 45.464161),"45.464161, 9.190336",Milan,,"45.464161, 9.190336"
Peder Mørk Mønsted,1859-12-10T00:00:00Z,1941-06-20T00:00:00Z,Grenå,Point(10.875833333 56.413333333),"56.413333333333, 10.875833333333",Fredensborg-Humlebæk,,"55.968055555556, 12.399444444444"
Pavel Tchistiakov,1832-07-05T00:00:00Z,1919-11-11T00:00:00Z,Oblast de Tver,Point(34.616666666 57.15),"57.15, 34.616666666667",Pouchkine,,"59.716666666667, 30.416666666667"
Christian Mali,1832-10-02T00:00:00Z,1906-10-01T00:00:00Z,Utrecht,Point(5.115555555 52.088888888),"52.088888888889, 5.1155555555556",Munich,,"48.133333333333, 11.566666666667"
Paul Cuvelier,1923-11-22T00:00:00Z,1978-07-05T00:00:00Z,Lens,Point(3.9 50.55),"50.55, 3.9",Charleroi,,"50.416666666667, 4.4441666666667"
Henry de Groux,1866-11-16T00:00:00Z,1930-01-17T00:00:00Z,Bruxelles,Point(4.3525 50.846666666),"50.846666666667, 4.3525",Marseille,,"43.296666666667, 5.3763888888889"
Lola Mora,1866-11-17T00:00:00Z,1935-06-07T00:00:00Z,San Miguel de Tucumán,Point(-65.216666666 -26.816666666),"-26.816666666667, -65.216666666667",Buenos Aires,,"-34.599722222222, -58.381944444444"
Helene Kröller-Müller,1869-02-11T00:00:00Z,1939-12-14T00:00:00Z,Essen,Point(7.013055555 51.450833333),"51.450833333333, 7.0130555555556",Otterlo,,"52.1, 5.7833333333333"
Eva Bonnier,1857-11-17T00:00:00Z,1909-01-13T00:00:00Z,Stockholm,Point(18.068611111 59.329444444),"59.329444444444, 18.068611111111",Copenhague,,"55.676111111111, 12.568888888889"
Fritz Mackensen,1866-04-08T00:00:00Z,1953-05-12T00:00:00Z,Kreiensen,Point(9.963333333 51.857222222),"51.857222222222, 9.9633333333333",Brême,,"53.076944444444, 8.8088888888889"
Joan Lindsay,1896-11-16T00:00:00Z,1984-12-23T00:00:00Z,St Kilda,Point(144.982 -37.864),"-37.864, 144.982",Melbourne,,"-37.820555555556, 144.96138888889"
Lucy Bacon,1857-07-30T00:00:00Z,1932-10-17T00:00:00Z,Pitcairn,Point(-75.282222222 44.181111111),"44.181111111111, -75.282222222222",San Francisco,,"37.766667, -122.433333"
Nina Hamnett,1890-02-14T00:00:00Z,1956-12-16T00:00:00Z,Tenby,Point(-4.699444444 51.671388888),"51.671388888889, -4.6994444444444",Londres,,"51.507222222222, -0.1275"
Alwin Blaue,1896-09-06T00:00:00Z,1958-11-28T00:00:00Z,Hambourg,Point(10.0 53.55),"53.55, 10",Kiel,,"54.325277777778, 10.140555555556"
Nélie Jacquemart,1841-07-25T00:00:00Z,1912-05-14T00:00:00Z,Paris,Point(2.351827777 48.856577777),"48.856577777778, 2.3518277777778",Paris,,"48.856577777778, 2.3518277777778"
Walter Dexel,1890-02-07T00:00:00Z,1973-06-08T00:00:00Z,Munich,Point(11.566666666 48.133333333),"48.133333333333, 11.566666666667",Brunswick,,"52.269166666667, 10.521111111111"
Georgette Agutte,1867-05-17T00:00:00Z,1922-09-05T00:00:00Z,Paris,Point(2.351827777 48.856577777),"48.856577777778, 2.3518277777778",Chamonix-Mont-Blanc,,"45.922222222222, 6.8688888888889"
Jacek Malczewski,1854-07-15T00:00:00Z,1929-10-08T00:00:00Z,Radom,Point(21.156666666 51.403611111),"51.403611111111, 21.156666666667",Cracovie,,"50.066666666667, 19.95"
Amanda Tröndle-Engel,1861-11-12T00:00:00Z,1956-09-29T00:00:00Z,Gléresse,Point(7.133333333 47.083333333),"47.083333333333, 7.1333333333333",Aarau,,"47.394166666667, 8.045"
Elaine de Kooning,1918-03-12T00:00:00Z,1989-02-01T00:00:00Z,Brooklyn,Point(-73.990277777 40.692777777),"40.692777777778, -73.990277777778",Southampton,,"40.885277777778, -72.395277777778"
Fritz Overbeck,1869-09-15T00:00:00Z,1909-06-07T00:00:00Z,Brême,Point(8.808888888 53.076944444),"53.076944444444, 8.8088888888889",Brême,,"53.076944444444, 8.8088888888889"
Horst Janssen,1929-11-14T00:00:00Z,1995-08-31T00:00:00Z,Hambourg,Point(10.0 53.55),"53.55, 10",Hambourg,,"53.55, 10"
Fernande Olivier,1881-06-06T00:00:00Z,1966-01-29T00:00:00Z,Paris,Point(2.351827777 48.856577777),"48.856577777778, 2.3518277777778",Paris,,"48.856577777778, 2.3518277777778"
Paul Cuvelier,1923-11-22T00:00:00Z,1978-08-05T00:00:00Z,Lens,Point(3.9 50.55),"50.55, 3.9",Charleroi,,"50.416666666667, 4.4441666666667"
Albert Weisgerber,1878-04-21T00:00:00Z,1915-05-10T00:00:00Z,Saint-Ingbert,Point(7.116666666 49.3),"49.3, 7.1166666666667",Fromelles,,"50.606388888889, 2.855"
Emil Schumacher,1912-08-29T00:00:00Z,1999-10-04T00:00:00Z,Hagen,Point(7.475 51.359444444),"51.359444444444, 7.475",Sant Josep de sa Talaia,,"38.921667, 1.293333"
Johannes Bochenek,1831-05-01T00:00:00Z,1909-12-03T00:00:00Z,Hlučín,Point(18.1920049 49.897939786),"49.897939786775, 18.19200490075",Berlin,,"52.516666666667, 13.383333333333"
Amado de la Cueva,1891-05-06T00:00:00Z,1926-04-01T00:00:00Z,Guadalajara,Point(-103.351944444 20.666111111),"20.666111111111, -103.35194444444",Guadalajara,,"20.666111111111, -103.35194444444"
Gertrude Jekyll,1843-11-29T00:00:00Z,1932-12-08T00:00:00Z,Londres,Point(-0.1275 51.507222222),"51.507222222222, -0.1275",Surrey,,"51.25, -0.41666666666667"
Kurt Seligmann,1900-07-20T00:00:00Z,1962-01-02T00:00:00Z,Bâle,Point(7.591111111 47.550555555),"47.550555555556, 7.5911111111111",État de New York,,"43, -75"
Pannonica de Koenigswarter,1913-12-10T00:00:00Z,1988-11-30T00:00:00Z,Londres,Point(-0.1275 51.507222222),"51.507222222222, -0.1275",New York,,"40.67, -73.94"
Bob Ross,1942-10-29T00:00:00Z,1995-07-04T00:00:00Z,Daytona Beach,Point(-81.037777777 29.207222222),"29.207222222222, -81.037777777778",New Smyrna Beach,,"29.030555555556, -80.925277777778"
Amadeo de Souza-Cardoso,1887-11-14T00:00:00Z,1918-10-25T00:00:00Z,Mancelos,Point(-8.165833333 41.280833333),"41.280833333333, -8.1658333333333",Espinho,,"41.01, -8.64"
Amadeo de Souza-Cardoso,1887-11-14T00:00:00Z,1918-10-25T00:00:00Z,Mancelos,Point(-8.165833333 41.280833333),"41.280833333333, -8.1658333333333",Espinho,,"41, -8.6333333333333"
Henriëtte Ronner-Knip,1821-05-31T00:00:00Z,1909-03-02T00:00:00Z,Amsterdam,Point(4.9 52.383333333),"52.383333333333, 4.9",Ixelles,,"50.830277777778, 4.3613888888889"
Ernst Ludwig Kirchner,1880-05-06T00:00:00Z,1938-06-15T00:00:00Z,Aschaffenbourg,Point(9.15 49.966666666),"49.966666666667, 9.15",Davos Frauenkirch,,"46.7689, 9.79944"
Edith Durham,1863-12-08T00:00:00Z,1944-11-15T00:00:00Z,Londres,Point(-0.1275 51.507222222),"51.507222222222, -0.1275",Londres,,"51.507222222222, -0.1275"
Jenő Barcsay,1900-01-14T00:00:00Z,1988-04-02T00:00:00Z,Cătina,Point(24.166666666 46.833333333),"46.833333333333, 24.166666666667",Budapest,,"47.498333333333, 19.040833333333"
Édouard Vuillard,1868-11-11T00:00:00Z,1940-06-21T00:00:00Z,Cuiseaux,Point(5.387777777 46.494166666),"46.494166666667, 5.3877777777778",La Baule-Escoublac,,"47.285833333333, -2.3922222222222"
Konrad Krzyżanowski,1872-02-15T00:00:00Z,1922-05-25T00:00:00Z,Krementchouk,Point(33.423888888 49.0775),"49.0775, 33.423888888889",Varsovie,,"52.216666666667, 21.033333333333"
Vera Moukhina,1889-07-01T00:00:00Z,1953-10-06T00:00:00Z,Riga,Point(24.106944444 56.9475),"56.9475, 24.106944444444",Moscou,,"55.755833333333, 37.617777777778"
John Wayne Gacy,1942-03-17T00:00:00Z,1994-05-10T00:00:00Z,Edgewater Hospital,Point(-87.6302 41.8822),"41.8822, -87.6302",Crest Hill,,"41.5644, -88.1086"
Ivana Kobilca,1861-12-20T00:00:00Z,1926-12-04T00:00:00Z,Ljubljana,Point(14.516666666 46.05),"46.05, 14.516666666667",Ljubljana,,"46.05, 14.516666666667"
Sonia Delaunay,1885-11-14T00:00:00Z,1979-12-05T00:00:00Z,Hradyzk,Point(33.132037128 49.233069251),"49.233069251229, 33.132037128193",Paris,,"48.856577777778, 2.3518277777778"
Étienne Dujardin-Beaumetz,1852-09-20T00:00:00Z,1913-09-27T00:00:00Z,Paris,Point(2.351827777 48.856577777),"48.856577777778, 2.3518277777778",La Bezole,,"43.033611111111, 2.1077777777778"
Elizabeth Jane Gardner Bouguereau,1837-10-04T00:00:00Z,1922-01-28T00:00:00Z,Exeter,Point(-70.947777777 42.981388888),"42.981388888889, -70.947777777778",Saint-Cloud,,"48.846388888889, 2.2152777777778"
Mathilde Bonaparte,1820-05-27T00:00:00Z,1904-01-02T00:00:00Z,Trieste,Point(13.804166666 45.636111111),"45.636111111111, 13.804166666667",Paris,,"48.856577777778, 2.3518277777778"
Louis Anquetin,1861-01-26T00:00:00Z,1932-08-19T00:00:00Z,Étrépagny,Point(1.611388888 49.305833333),"49.305833333333, 1.6113888888889",Paris,,"48.856577777778, 2.3518277777778"
Emily Carr,1871-12-13T00:00:00Z,1945-03-02T00:00:00Z,Victoria,Point(-123.3657 48.422151),"48.422151, -123.3657",Victoria,,"48.422151, -123.3657"
Helene Schjerfbeck,1862-07-10T00:00:00Z,1946-01-23T00:00:00Z,Helsinki,Point(24.948611111 60.173333333),"60.173333333333, 24.948611111111",Saltsjöbaden,,"59.286111111111, 18.287222222222"
Tamara de Lempicka,1898-05-16T00:00:00Z,1980-03-18T00:00:00Z,Varsovie,Point(21.033333333 52.216666666),"52.216666666667, 21.033333333333",Cuernavaca,,"18.918611111111, -99.234166666667"
Remedios Varo Uranga,1908-12-16T00:00:00Z,1963-10-08T00:00:00Z,Anglès,Point(2.640016 41.957374),"41.957374, 2.640016",Mexico,,"19.419444444444, -99.145555555556"
Mikalojus Konstantinas Čiurlionis,1875-09-22T00:00:00Z,1911-04-10T00:00:00Z,Varėna,Point(24.583333333 54.266666666),"54.266666666667, 24.583333333333",Varsovie,,"52.216666666667, 21.033333333333"
Óscar Domínguez,1906-01-03T00:00:00Z,1957-12-31T00:00:00Z,San Cristóbal de La Laguna,Point(-16.32 28.48),"28.48, -16.32",Paris,,"48.856577777778, 2.3518277777778"
Étienne Dujardin-Beaumetz,1852-09-20T00:00:00Z,1913-09-27T00:00:00Z,Passy,Point(2.284136111 48.857111111),"48.857111111111, 2.2841361111111",La Bezole,,"43.033611111111, 2.1077777777778"
Edward Rydz-Śmigły,1886-03-11T00:00:00Z,1941-12-02T00:00:00Z,Berejany,Point(24.943643614 49.44642725),"49.44642725077, 24.943643614913",Varsovie,,"52.216666666667, 21.033333333333"
Dora Maar,1907-11-22T00:00:00Z,1997-07-16T00:00:00Z,Paris,Point(2.351827777 48.856577777),"48.856577777778, 2.3518277777778",Paris,,"48.856577777778, 2.3518277777778"
Evelyn De Morgan,1855-08-30T00:00:00Z,1919-05-02T00:00:00Z,Londres,Point(-0.1275 51.507222222),"51.507222222222, -0.1275",Londres,,"51.507222222222, -0.1275"
Mary Blair,1911-10-21T00:00:00Z,1978-07-26T00:00:00Z,McAlester,Point(-95.766388888 34.933055555),"34.933055555556, -95.766388888889",Soquel,,"36.986944444444, -121.94555555556"
Marie Laurencin,1883-10-31T00:00:00Z,1956-06-08T00:00:00Z,Paris,Point(2.351827777 48.856577777),"48.856577777778, 2.3518277777778",Paris,,"48.856577777778, 2.3518277777778"
Jocelyn Barbara Hepworth,1903-01-10T00:00:00Z,1975-05-20T00:00:00Z,Wakefield,Point(-1.492 53.6801),"53.6801, -1.492",St Ives,,"50.21, -5.48"
Uroš Predić,1857-12-07T00:00:00Z,1953-02-11T00:00:00Z,Orlovat,Point(20.576111111 45.239444444),"45.239444444444, 20.576111111111",Belgrade,,"44.816666666667, 20.466666666667"
Étienne Terrus,1857-09-21T00:00:00Z,1922-06-22T00:00:00Z,Elne,Point(2.971111111 42.600277777),"42.600277777778, 2.9711111111111",Elne,,"42.600277777778, 2.9711111111111"
Séraphine de Senlis,1865-09-03T00:00:00Z,1942-12-11T00:00:00Z,Arsy,Point(2.681944444 49.400833333),"49.400833333333, 2.6819444444444",Clermont,,"49.378888888889, 2.4125"
Aladár Árkay,1868-02-01T00:00:00Z,1932-02-02T00:00:00Z,Timișoara,Point(21.23 45.759722222),"45.759722222222, 21.23",Budapest,,"47.498333333333, 19.040833333333"
Étienne-Prosper Berne-Bellecour,1838-06-29T00:00:00Z,1910-11-29T00:00:00Z,Boulogne-sur-Mer,Point(1.613888888 50.725555555),"50.725555555556, 1.6138888888889",Paris,,"48.856577777778, 2.3518277777778"
Martín Chambi,1891-11-05T00:00:00Z,1973-09-13T00:00:00Z,Puno,Point(-70.023611111 -15.843333333),"-15.843333333333, -70.023611111111",Cuzco,,"-13.518333, -71.978056"
Lee Krasner,1908-10-27T00:00:00Z,1984-06-19T00:00:00Z,Brooklyn,Point(-73.990277777 40.692777777),"40.692777777778, -73.990277777778",New York,,"40.67, -73.94"
Étienne Moreau-Nélaton,1859-12-02T00:00:00Z,1927-04-25T00:00:00Z,Paris,Point(2.351827777 48.856577777),"48.856577777778, 2.3518277777778",Paris,,"48.856577777778, 2.3518277777778"
Frank H. Netter,1906-04-25T00:00:00Z,1991-09-17T00:00:00Z,New York,Point(-73.94 40.67),"40.67, -73.94",New York,,"40.67, -73.94"
Katarzyna Kobro,1898-01-26T00:00:00Z,1951-02-21T00:00:00Z,Moscou,Point(37.617777777 55.755833333),"55.755833333333, 37.617777777778",Łódź,,"51.759494444444, 19.458511111111"
Jeanne Hébuterne,1898-04-06T00:00:00Z,1920-01-26T00:00:00Z,Meaux,Point(2.887777777 48.959444444),"48.959444444444, 2.8877777777778",Paris,,"48.856577777778, 2.3518277777778"
George Hendrik Breitner,1857-09-12T00:00:00Z,1923-06-05T00:00:00Z,Rotterdam,Point(4.479166666 51.930833333),"51.930833333333, 4.4791666666667",Amsterdam,,"52.383333333333, 4.9"
Violeta Parra,1917-10-04T00:00:00Z,1967-02-05T00:00:00Z,Région du Biobío,Point(-73.063055555 -36.772777777),"-36.772777777778, -73.063055555556",Santiago,,"-33.45, -70.666666666667"
Denton Welch,1915-03-29T00:00:00Z,1948-12-30T00:00:00Z,Shanghai,Point(121.466666666 31.166666666),"31.166666666667, 121.46666666667",Kent,,"51.19, 0.73"
Nathalie Gontcharoff,1881-07-03T00:00:00Z,1962-10-17T00:00:00Z,Gouvernement de Toula,Point(37.616666666 54.2),"54.2, 37.616666666667",Paris,,"48.856577777778, 2.3518277777778"
Louise Abbéma,1853-10-30T00:00:00Z,1927-07-10T00:00:00Z,Étampes,Point(2.162222222 48.435),"48.435, 2.1622222222222",Paris,,"48.856577777778, 2.3518277777778"
Eugen Zimmermann,1907-08-19T00:00:00Z,1990-11-12T00:00:00Z,Villingen-Schwenningen,Point(8.458611111 48.060277777),"48.060277777778, 8.4586111111111",Lörrach,,"47.615555555556, 7.6613888888889"
